Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point
"8,028,852",0,80288520,Mason St. / Market St.,2008-04-03T00:00:00,80940231,2008-04-03T13:11:10,2008-04-03T13:15:04,2008-04-03T13:15:19,SF,94109,B03,1,,2,9,0,0,0,0,E01,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.408203 37.783962)
"8,028,843",0,80288430,200 Santa Rosa Av.,2008-04-03T00:00:00,80940222,2008-04-03T12:54:26,2008-04-03T12:58:38,2008-04-03T13:09:30,SF,94112,B09,15,,1,4,0,0,0,0,E33,,,0,0,0,0,1,"500 - Service Call, other",None,"60 - Systems and services, other",-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Outer Mission,POINT (-122.4400469 37.72898139)
"8,028,847",0,80288470,Vallejo St. / Sansome St.,2008-04-03T00:00:00,80940226,2008-04-03T12:57:33,2008-04-03T13:01:17,2008-04-03T13:04:07,SF,94111,B01,13,,1,4,0,0,0,0,E35,,,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,"10 - Fire, other",-,-,U - Unknown,"962 - Residential street, road or residential dr","90 - Outside area, other",2 - Unintentional,11 - Abandoned or discarded materials or p,-,UU - Undetermined,"96 - Rubbish, trash, or waste",N - None,,,,,,,,,,,,,,,,,,,,,North Beach,POINT (-122.402423 37.799383)
"8,028,926",0,80289260,18th St. / Mission St.,2008-04-03T00:00:00,80940325,2008-04-03T17:14:16,2008-04-03T17:16:19,2008-04-03T17:17:11,SF,94110,B02,7,,2,9,0,0,0,0,E07,,,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.41936 37.761836)
"8,028,882",0,80288820,24th St. / Castro St.,2008-04-03T00:00:00,80940271,2008-04-03T14:22:42,2008-04-03T14:22:42,2008-04-03T14:22:42,SF,94131,B06,24,,1,2,0,0,0,0,72,,,0,0,0,0,1,"900 - Special type of incident, other",None,"00 - Action taken, other",-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Noe Valley,POINT (-122.434089 37.751305)
"8,028,863",0,80288630,Montgomery St. / Filbert St.,2008-04-03T00:00:00,80940245,2008-04-03T13:31:01,2008-04-03T13:35:56,2008-04-03T13:36:40,SF,94133,B01,28,,2,9,0,0,0,0,E28,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,North Beach,POINT (-122.404611 37.80196)
"8,028,857",0,80288570,2014 22nd Av.,2008-04-03T00:00:00,80940240,2008-04-03T13:24:44,2008-04-03T13:31:15,2008-04-03T13:41:14,SF,94122,B08,40,,1,4,0,0,0,0,E40,,,0,0,0,0,1,444 - Power line down (wire),None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunset/Parkside,POINT (-122.479318 37.750057)
"8,028,564",0,80285640,1600 Holloway Av.,2008-04-02T00:00:00,80930263,2008-04-02T15:31:46,2008-04-02T15:40:47,2008-04-02T16:33:41,SF,94102,B08,19,,5,15,0,0,0,0,E19,,,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),None,33 - Provide advanced life support (ALS),-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,7,Lakeshore,POINT (-122.483602 37.722997)
"8,028,574",0,80285740,1 Sf Intl Airport,2008-04-02T00:00:00,80930279,2008-04-02T12:54:11,2008-04-02T12:59:16,2008-04-02T13:16:19,SFO,94128,B09,A1,,2,5,0,0,0,0,AP,,,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,-,-,-,171 - Airport passenger terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayview Hunters Point,POINT (-122.38416 37.616901)
"8,028,588",0,80285880,Fillmore St. / Geary Bl.,2008-04-02T00:00:00,80930294,2008-04-02T16:48:31,2008-04-02T16:52:52,2008-04-02T17:14:26,SF,94115,B04,5,,1,4,0,0,0,0,E38,,,0,0,0,0,1,"451 - Biological hazard, confirmed or suspected",None,47 - Decontaminate occupancy or area,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.432914 37.784353)
"8,028,577",0,80285770,610 Polk St.,2008-04-02T00:00:00,80930282,2008-04-02T16:25:44,2008-04-02T16:29:45,2008-04-02T16:36:09,SF,94102,B02,3,,3,11,0,0,0,0,E03,,,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,63 - Restore fire alarm system,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.41894 37.782329)
