Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point
"8,028,213",0,80282130,318 Kearny St.,2008-04-01T00:00:00,80920142,2008-04-01T11:09:26,2008-04-01T11:15:27,2008-04-01T11:32:18,SF,94104,B01,13,,3,11,0,0,0,0,E35,,,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"500 - Mercantile, business, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.40388762 37.79116973)
"8,028,214",0,80282140,26th St. / Horace St.,2008-04-01T00:00:00,80920143,2008-04-01T11:09:17,2008-04-01T11:21:08,2008-04-01T12:20:01,SF,94110,B06,7,,1,5,0,0,0,0,T07,,,0,0,0,0,1,"600 - Good intent call, other",None,45 - Remove hazard,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission,POINT (-122.414338 37.74927)
"8,028,219",0,80282190,5th St. / Bryant St.,2008-04-01T00:00:00,80920151,2008-04-01T11:33:18,2008-04-01T11:36:34,2008-04-01T11:38:52,SF,94107,B03,8,,1,4,0,0,0,0,E08,,,0,0,0,0,1,"142 - Brush, or brush and grass mixture fire",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,"90 - Outside area, other",U - Cause undetermined after investigation,UU - Undetermined,-,UU - Undetermined,"70 - Organic materials, other",3 - Unattended or unsupervised person,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.400302 37.777799)
"8,028,224",0,80282240,5030 Mission St.,2008-04-01T00:00:00,80920156,2008-04-01T11:41:01,2008-04-01T11:47:53,2008-04-01T12:09:47,SF,94112,B09,43,,1,4,0,0,0,0,E43,100,100,0,0,0,0,1,111 - Building fire,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,21 - Bedroom-<5 persons; inc. jail or pris,3 - Failure of equipment or heat source,"30 - Electrical failure, malfunction, othe",-,13 - Arcing,"81 - Electrical wire, cable insulation",N - None,1 -Enclosed building,2 -In normal use,3,-,1,1,0,0,0,U -Undetermined,-,-,-,-,N -None Present,-,-,-,0,,Outer Mission,POINT (-122.44011498 37.71812878)
"8,028,256",0,80282560,200 The Embarcadero Nor,2008-04-01T00:00:00,80920198,2008-04-01T14:28:30,2008-04-01T14:37:06,2008-04-01T14:48:12,SF,94104,B01,13,,1,4,0,0,0,0,E35,,,0,0,0,0,1,"150 - Outside rubbish fire, other",None,87 - Investigate - Fire out on arrival,-,-,-,"898 - Dock, marina, pier, wharf",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.394913 37.796958)
"8,028,268",0,80282680,136 Eastwood Dr.,2008-04-01T00:00:00,80920211,2008-04-01T15:00:22,2008-04-01T15:11:05,2008-04-01T17:16:37,SF,94116,B09,15,,3,8,0,0,0,0,T15,,,0,0,0,0,1,"550 - Public service assistance, other",None,52 - Forcible entry,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,7,West of Twin Peaks,POINT (-122.4570567 37.72837822)
"8,028,267",0,80282670,240 Jones St.,2008-04-01T00:00:00,80920212,2008-04-01T15:01:54,2008-04-01T15:10:25,2008-04-01T16:23:19,SF,94105,B03,1,,1,4,0,0,0,0,E01,,,0,0,0,0,1,554 - Assist invalid,None,71 - Assist physically disabled,-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.412406 37.783406)
"8,028,264",0,80282640,1960 - 1980 Grant Av.,2008-04-01T00:00:00,80920208,2008-04-01T14:59:12,2008-04-01T15:15:14,2008-04-01T15:15:14,SF,94133,B01,28,,3,11,0,0,0,0,E28,,,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,North Beach,POINT (-122.408373 37.804982)
"8,028,265",0,80282650,2557 Alemany Bl.,2008-04-01T00:00:00,80920209,2008-04-01T15:00:08,2008-04-01T15:06:24,2008-04-01T15:10:37,SF,94112,B09,33,,1,4,0,0,0,0,E33,,,0,0,0,0,1,554 - Assist invalid,None,71 - Assist physically disabled,-,-,-,131 - Church/mosque/synagogue/temple/chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outer Mission,POINT (-122.4466 37.714871)
"8,028,281",0,80282810,641edinburgh St,2008-04-01T00:00:00,80920230,2008-04-01T16:22:52,2008-04-01T16:30:08,2008-04-01T16:38:20,SF,94112,B09,43,,1,4,0,0,0,0,E43,,,0,0,0,0,1,444 - Power line down (wire),None,45 - Remove hazard,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Excelsior,POINT (-122.4337769 37.71934586)
"8,028,275",0,80282750,190 Coleridge St.,2008-04-01T00:00:00,80920225,2008-04-01T15:58:31,2008-04-01T16:06:20,2008-04-01T16:28:24,SF,94110,B06,11,,1,5,0,0,0,0,T11,,,0,0,0,0,1,351 - Extrication of victim(s) from Structure,None,"22 - Rescue, remove from harm",-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.420358 37.742874)
