facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,supervisor_district,city_tenants,land_id
729,Fire Station #5 - Division 2 Headquarters,1301 Turk St,San Francisco,94115,0756001,Own,38,Fire Department,12600,-122.43073468,37.780515374000004,5,,641
718,Fire Station #37,798 Wisconsin St,San Francisco,94107,4097024,Own,38,Fire Department,6950,-122.399243851,37.757417782000005,10,,344
711,Fire Station #29,299 Vermont St,San Francisco,94103,3935002,Own,38,Fire Department,8300,-122.40429579300002,37.76615647099999,10,,343
726,Fire Station #43,720 Moscow St,San Francisco,94112,6338024,Own,38,Fire Department,10800,-122.431678707,37.71634867300003,11,,308
720,Fire Station #39,1091 Portola Dr,San Francisco,94127,2982029,Own,38,Fire Department,8450,-122.45863496599998,37.74003983900002,7,,342
690,Fire Headquarters,698 02nd St,San Francisco,94107,3788006,Own,38,Fire Department,,-122.39104791599999,37.780549909,6,,311
703,Fire Station #20,285 Olympia Way,San Francisco,94131,2842009,Own,38,Fire Department,10300,-122.456076693,37.75117124500002,7,,582
1207,Old Fire Station 21,1152 Oak St,San Francisco,94117,1215010,Own,38,Fire Department,5600,-122.43836622399999,37.77330114,5,,325
716,Fire Station #34,499 41st Ave,San Francisco,94121,1494001,Own,38,Fire Department,4400,-122.502619095,37.779438629000026,1,,324
688,Fire Division of Training  - Treasure Island,600 Avenue M,San Francisco,94130,1939030,Own,38,Fire Department,5040,-122.36705181999997,37.82705932599998,6,,1106
694,Fire Station #12,1145 Stanyan St,San Francisco,94117,2630047,Own,38,Fire Department,11300,-122.45258644500001,37.76344992600002,5,,316
689,Fire Division of Training - Folsom St,2310 Folsom St,San Francisco,94110,3594059,Own,38,Fire Department,,-122.41501087500001,37.760012390999975,9,,314
1407,Richmond Station,461 06th Ave,San Francisco,94118,1538007,Own,45,Police Department,13000,-122.464460729,37.78000129200001,1,,812
1182,Next Door Shelter,1001 Polk St,San Francisco,94109,0694004,Own,45,Police Department,37125,-122.42004904499998,37.78611645199999,6,,374
699,Fire Station #17,1295 Shafter Ave,San Francisco,94124,4792018,Own,38,Fire Department,12100,-122.38506673500001,37.72752662099998,10,,310
3168,Sunset Tank & Pump Station,2275 44TH AVE,San Francisco,94116,2305014,Own,38,Fire Department,,-122.50297402400003,37.74424389000001,4,,317
719,Fire Station #38,2150 California St,San Francisco,94115,0638016,Own,38,Fire Department,13400,-122.42988021399998,37.78971867500002,2,,329
1740,Taraval Station,2345 24th Ave,San Francisco,94116,2353002,Own,45,Police Department,18070,-122.48146076699999,37.74373379399998,4,,177
709,Fire Station #26,80 Digby St,San Francisco,94131,7540013,Own,38,Fire Department,15000,-122.433399694,37.74028305799999,8,,305
733,Fire Station #8,36 Bluxome St,San Francisco,94107,3786039,Own,38,Fire Department,8000,-122.39671009300002,37.77730564400002,6,,312
724,Fire Station #41,1325 Leavenworth St,San Francisco,94109,0216003,Own,38,Fire Department,9600,-122.416495156,37.79337685799999,3,,334
725,Fire Station #42,2430 San Bruno Ave,San Francisco,94134,5924004,Own,38,Fire Department,9300,-122.40542499600002,37.73158521200003,9,,347
897,Ingleside Police Station,1 Sergeant John V Young St,San Francisco,94112,3179011,Own,45,Police Department,18500,-122.446251045,37.72477013399998,11,,661
3494,1828 Egbert Storage Facility,1828 Egbert Ave,San Francisco,94124,5434B005,Own,45,Police Department,,-122.40042402400002,37.727506928000025,10,,1289
708,Fire Station #25,3305 3rd St,San Francisco,94124,4502A002,Own,38,Fire Department,11420,-122.38685250600003,37.74663929799999,10,,781
139,Bureau of Fire Investigation,1275 3rd St,San Francisco,94158,8719007,Own,38,Fire Department,60000,-122.389375556,37.77227140299999,6,,756
453,Central Station,766 Vallejo St,San Francisco,94133,0130043,Own,45,Police Department,8000,-122.40986290900003,37.798645319,3,,163
704,Fire Station #21,1443 Grove St,San Francisco,94117,1200016,Own,38,Fire Department,8000,-122.440271768,37.77540972100002,5,,326
730,Fire Station #6,135 Sanchez St,San Francisco,94114,3542025,Own,38,Fire Department,13500,-122.43087415500003,37.767078706999996,8,,313
173,Bayview Station,201 Williams Ave,San Francisco,94124,5423A010,Own,45,Police Department,16000,-122.39808655500002,37.72964171799998,10,,567
738,Fire Station #35 - Fireboat Headquarters,Pier 22 1/2,San Francisco,94105,9900022H,Own,38,Fire Department,2500,-122.38844006900001,37.79022102599998,6,,369
693,Fire Station #11,3880 26th St,San Francisco,94131,6551043,Own,38,Fire Department,14000,-122.426485507,37.74878231700001,8,,307
700,Fire Station #18,1935 32nd Ave,San Francisco,94116,2102006,Own,38,Fire Department,15900,-122.49054390700002,37.75098636299998,4,,321
734,Fire Station #9,2245 Jerrold Ave,San Francisco,94124,5286A022,Own,38,Fire Department,15000,-122.40123558200003,37.74526234199999,10,,309
713,Fire Station #31,441 12th Ave,San Francisco,94118,1532007,Own,38,Fire Department,8500,-122.47091141499999,37.779840105000005,1,,320
