the_geom,OBJECTID,CNN,STREETNAME,CNNTEXT,LAYER
"LINESTRING (-122.42175810402932 37.78754813967303, -122.42167445012105 37.78765436919792, -122.4217498813623 37.78802721492102)",10098,13155201,VAN NESS AVE,13155201,STREETS
"LINESTRING (-122.42195490664177 37.78800117835348, -122.42203222808533 37.7883833564847, -122.421948584787 37.78848964286713)",10100,13155102,VAN NESS AVE,13155102,STREETS
"LINESTRING (-122.42175810402932 37.78754813967303, -122.42187947440482 37.787628333034355, -122.42195490664177 37.78800117835348)",10097,13155101,VAN NESS AVE,13155101,STREETS
"LINESTRING (-122.42155971622066 37.78708725165588, -122.42163673461498 37.787467946448935, -122.42175810402932 37.78754813967303)",6597,13154202,VAN NESS AVE,13154202,STREETS
"LINESTRING (-122.4215701154755 37.78661896096857, -122.4214842865072 37.7867144043804, -122.42155971622066 37.78708725165588)",10095,13154201,VAN NESS AVE,13154201,STREETS
"LINESTRING (-122.4217648127532 37.787061578727084, -122.42184175804427 37.78744191008111, -122.42175810402932 37.78754813967303)",10096,13154102,VAN NESS AVE,13154102,STREETS
"LINESTRING (-122.4215701154755 37.78661896096857, -122.42168938169733 37.78668873186128, -122.4217648127532 37.787061578727084)",8713,13154101,VAN NESS AVE,13154101,STREETS
"LINESTRING (-122.42137337381436 37.78616615879445, -122.42144657194157 37.7865279809897, -122.4215701154755 37.78661896096857)",6598,13153202,VAN NESS AVE,13153202,STREETS
"LINESTRING (-122.42139330761384 37.78568580262434, -122.42129799124486 37.78579353612134, -122.42137337381436 37.78616615879445)",6599,13153201,VAN NESS AVE,13153201,STREETS
"LINESTRING (-122.42139330761384 37.78568580262434, -122.4215030386828 37.78576763913835, -122.42165166662285 37.78650230826074, -122.4215701154755 37.78661896096857)",6601,13153101,VAN NESS AVE,13153101,STREETS
"LINESTRING (-122.42121645774255 37.78523262875494, -122.42129978584174 37.78559338502043, -122.42139330761384 37.78568580262434)",10119,13152202,VAN NESS AVE,13152202,STREETS
"LINESTRING (-122.42119297469768 37.7847534461749, -122.42113387180372 37.784875082455024, -122.42121645774255 37.78523262875494)",10120,13152201,VAN NESS AVE,13152201,STREETS
"LINESTRING (-122.42136006362692 37.785214383441044, -122.42144171788576 37.78556734066903, -122.42139330761384 37.78568580262434)",10122,13152102,VAN NESS AVE,13152102,STREETS
"LINESTRING (-122.42119297469768 37.7847534461749, -122.42127734239575 37.78485681114107, -122.42136006362692 37.785214383441044)",10121,13152101,VAN NESS AVE,13152101,STREETS
"LINESTRING (-122.42101751399372 37.78430272981224, -122.42109929891534 37.78465346785617, -122.42119297469768 37.7847534461749)",10125,13151202,VAN NESS AVE,13151202,STREETS
"LINESTRING (-122.42100836063572 37.78382411795348, -122.42095466766047 37.78393967116303, -122.42101751399372 37.78430272981224)",6545,13151201,VAN NESS AVE,13151201,STREETS
"LINESTRING (-122.42117098673921 37.784283291641145, -122.42124264938526 37.78463521199401, -122.42119297469768 37.7847534461749)",10124,13151102,VAN NESS AVE,13151102,STREETS
"LINESTRING (-122.42100836063572 37.78382411795348, -122.4210981528364 37.78391523517672, -122.42117098673921 37.784283291641145)",10123,13151101,VAN NESS AVE,13151101,STREETS
"LINESTRING (-122.42083185014445 37.783370487991625, -122.42090463996769 37.78372409328891, -122.42100836063572 37.78382411795348)",6543,13150202,VAN NESS AVE,13150202,STREETS
"LINESTRING (-122.42081700322365 37.78289412157541, -122.42075471937831 37.78299578922074, -122.42083185014445 37.783370487991625)",10126,13150201,VAN NESS AVE,13150201,STREETS
"LINESTRING (-122.42097712402322 37.783352074989, -122.42104984159957 37.78371174547004, -122.42100836063572 37.78382411795348)",10127,13150102,VAN NESS AVE,13150102,STREETS
"LINESTRING (-122.42081700322365 37.78289412157541, -122.420901331474 37.782977196549474, -122.42097712402322 37.783352074989)",6544,13150101,VAN NESS AVE,13150101,STREETS
"LINESTRING (-122.4206382497072 37.78196076602603, -122.4205695185541 37.7820724849284, -122.42071539308346 37.782794022537715, -122.42081700322365 37.78289412157541)",10144,13149201,VAN NESS AVE,13149201,STREETS
"LINESTRING (-122.42081045799445 37.7824170548273, -122.42088191964807 37.782776126477074, -122.42081700322365 37.78289412157541)",10129,13149102,VAN NESS AVE,13149102,STREETS
"LINESTRING (-122.4206382497072 37.78196076602603, -122.42073808963475 37.78205342291019, -122.42081045799445 37.7824170548273)",10128,13149101,VAN NESS AVE,13149101,STREETS
"LINESTRING (-122.42045190282067 37.78150997091473, -122.4205241900185 37.781875477728406, -122.4206382497072 37.78196076602603)",10131,13148202,VAN NESS AVE,13148202,STREETS
"LINESTRING (-122.42043951793491 37.781030842041105, -122.42037895745715 37.78114113479311, -122.42045190282067 37.78150997091473)",10130,13148201,VAN NESS AVE,13148201,STREETS
"LINESTRING (-122.42043951793491 37.781030842041105, -122.42055202535423 37.78112567210492, -122.42069278290415 37.78185153469654, -122.4206382497072 37.78196076602603)",10143,13148101,VAN NESS AVE,13148101,STREETS
"LINESTRING (-122.4202554588078 37.78057621832004, -122.42033611603205 37.780930891095586, -122.42043951793491 37.781030842041105)",10133,13147202,VAN NESS AVE,13147202,STREETS
"LINESTRING (-122.42024718416822 37.78007469632997, -122.42017288939157 37.780213134808456, -122.4202554588078 37.78057621832004)",10132,13147201,VAN NESS AVE,13147201,STREETS
"LINESTRING (-122.42024718416822 37.78007469632997, -122.42033580060102 37.780189646252936, -122.42049920472229 37.78090930828147, -122.42043951793491 37.781030842041105)",6537,13147101,VAN NESS AVE,13147101,STREETS
"LINESTRING (-122.41988323101634 37.778251017791526, -122.41981653842 37.77834244906938, -122.42013724660895 37.77993545927847, -122.42024718416822 37.78007469632997)",6538,13146201,VAN NESS AVE,13146201,STREETS
"LINESTRING (-122.41988323101634 37.778251017791526, -122.41996797245562 37.77831212673691, -122.42031064007075 37.77991704772613, -122.42024718416822 37.78007469632997)",10142,13146101,VAN NESS AVE,13146101,STREETS
"LINESTRING (-122.41971162557282 37.77777015207164, -122.41978799685329 37.77814590102949, -122.41988323101634 37.778251017791526)",10169,13145202,VAN NESS AVE,13145202,STREETS
