the_geom,OBJECTID,CNN,STREETNAME,CNNTEXT,LAYER
"LINESTRING (-122.49810691616801 37.732267891667426, -122.4990589766984 37.73157607004185)",14885,11939000,SKYLINE BLVD,11939000,STREETS
"LINESTRING (-122.49663599722484 37.73377084310752, -122.49675994493762 37.73358629562901, -122.49745576441981 37.73301326448979, -122.49810691616801 37.732267891667426)",14085,11938000,SKYLINE BLVD,11938000,STREETS
"LINESTRING (-122.44621301592088 37.79981804618105, -122.44700838345594 37.800363549272554, -122.4471305735001 37.80038582418954)",3433,11010202,RICHARDSON AVE,11010202,STREETS
"LINESTRING (-122.44596537131117 37.79958091142117, -122.44597214325903 37.79965367270417, -122.44621301592088 37.79981804618105)",3430,11010201,RICHARDSON AVE,11010201,STREETS
"LINESTRING (-122.44618070484682 37.79966524637157, -122.44712558008183 37.80032032254933, -122.4471305735001 37.80038582418954)",3432,11010102,RICHARDSON AVE,11010102,STREETS
"LINESTRING (-122.44596537131117 37.79958091142117, -122.44618070484682 37.79966524637157)",7374,11010101,RICHARDSON AVE,11010101,STREETS
"LINESTRING (-122.44482786474055 37.79883962866856, -122.4448632584529 37.79892222220931, -122.44494355076215 37.798961236195204, -122.44502871374029 37.79901421094448, -122.44585081714152 37.79956189023248, -122.44596537131117 37.79958091142117)",3431,11009201,RICHARDSON AVE,11009201,STREETS
"LINESTRING (-122.44482786474055 37.79883962866856, -122.44493948198111 37.79881342976292, -122.4450331207936 37.79885892906528, -122.44512855901431 37.79891840295905, -122.44596147121734 37.79949459421939, -122.44596537131117 37.79958091142117)",11460,11009101,RICHARDSON AVE,11009101,STREETS
"LINESTRING (-122.47176212296773 37.773138947673495, -122.47167332673209 37.7730460683444, -122.47168178398655 37.772898737960695, -122.47171908937538 37.772768776923854, -122.47180435973641 37.7726089261245, -122.47194556397399 37.77248091371214, -122.47210550610288 37.77237721953631, -122.47229837622226 37.77232617025853, -122.47242673685632 37.77229555535875, -122.47263299157264 37.77230265150086, -122.47353752571658 37.77238330085292, -122.47398271459548 37.772422772892476, -122.47442063489231 37.77248265370528, -122.47469668183962 37.77250039848568, -122.47505997143156 37.77250390293688, -122.47544427206283 37.77245637264288, -122.47576554221955 37.772419028682215, -122.47628214122479 37.7723692784242, -122.47667292149481 37.77234902944714, -122.47725339983401 37.77232103173887, -122.47794879909766 37.772286537220815, -122.47841604387783 37.77225578694934, -122.47871300538199 37.77220512900153, -122.47888131409526 37.77213880483501, -122.47905719030966 37.77204282334666, -122.47919645134286 37.77191930832284, -122.47928849110252 37.77181073227812, -122.47936072304796 37.771668798464226, -122.47940289835715 37.77152624195645, -122.47940734187213 37.771404002321106, -122.4795039614575 37.771268574888836)",4348,10272201,PARK PRESIDIO BYPASS DR,10272201,PARKS
"LINESTRING (-122.47176212296773 37.773138947673495, -122.47181734236035 37.77305127703589, -122.47182521197685 37.772914176215174, -122.47185681725568 37.772804072028194, -122.4719280820171 37.77267047643784, -122.47204609019859 37.772563492505036, -122.4721762087723 37.77247913435891, -122.47234192979673 37.77243527062218, -122.47244486224976 37.7724107200972, -122.47262342103375 37.77241686362891, -122.47355744929183 37.77248341117401, -122.47396167596482 37.77253599656108, -122.47437716474988 37.77257926025609, -122.47468887275036 37.77261513016374, -122.47507414536537 37.77260410991714, -122.47541830330162 37.77256181772703, -122.47580823468138 37.772509626181424, -122.47623879499588 37.77247044933615, -122.47672148854282 37.77244409356137, -122.47729621622248 37.77241619181194, -122.47790545552547 37.7723877084666, -122.47843440826728 37.77236970116883, -122.47876094194318 37.77231399810351, -122.47895456854268 37.7722376971369, -122.47915309557872 37.77212935441007, -122.47931050579629 37.77198974174779, -122.47941651243923 37.771864689445, -122.47949853663111 37.77170351406708, -122.47954604848651 37.77154291846698, -122.47955321057441 37.77144949871498, -122.4795039614575 37.771268574888836)",10954,10272101,PARK PRESIDIO BYPASS DR,10272101,PARKS
"LINESTRING (-122.47190510309724 37.77500333621759, -122.47197029718858 37.774909488933815, -122.4718503853721 37.77323530443957, -122.47176212296773 37.773138947673495)",4329,10271201,PARK PRESIDIO BLVD,10271201,STREETS
"LINESTRING (-122.47190510309724 37.77500333621759, -122.4718332025341 37.774913054827074, -122.47171082082336 37.7732438497473, -122.47176212296773 37.773138947673495)",11014,10271101,PARK PRESIDIO BLVD,10271101,STREETS
"LINESTRING (-122.47203954111625 37.7768682301316, -122.47210426119497 37.77676987450296, -122.47198512004131 37.77509355678663, -122.47190510309724 37.77500333621759)",4289,10270201,PARK PRESIDIO BLVD,10270201,STREETS
"LINESTRING (-122.47203954111625 37.7768682301316, -122.47196348544881 37.77677353668038, -122.4718471110445 37.77510000250254, -122.47190510309724 37.77500333621759)",4288,10270101,PARK PRESIDIO BLVD,10270101,STREETS
"LINESTRING (-122.4721736185293 37.7787280214723, -122.4720840295823 37.778627704319256, -122.47196574495032 37.7769699509187, -122.47203954111625 37.7768682301316)",4224,10269201,PARK PRESIDIO BLVD,10269201,STREETS
"LINESTRING (-122.4721736185293 37.7787280214723, -122.47224609931722 37.778616683582406, -122.47212824374826 37.77696229525541, -122.47203954111625 37.7768682301316)",4225,10269101,PARK PRESIDIO BLVD,10269101,STREETS
"LINESTRING (-122.47231225628846 37.78065582769384, -122.47222091582249 37.78052095424944, -122.47210045514905 37.778851797639774, -122.4721736185293 37.7787280214723)",4223,10268201,PARK PRESIDIO BLVD,10268201,STREETS
"LINESTRING (-122.47231225628846 37.78065582769384, -122.47238126575408 37.78051582360172, -122.4722624977939 37.77883973844707, -122.4721736185293 37.7787280214723)",4187,10268101,PARK PRESIDIO BLVD,10268101,STREETS
"LINESTRING (-122.47245106113806 37.782578537576526, -122.47251570922562 37.78249636864782, -122.47239526289833 37.78082486526077, -122.47231225628846 37.78065582769384)",4136,10267201,PARK PRESIDIO BLVD,10267201,STREETS
"LINESTRING (-122.47245106113806 37.782578537576526, -122.47237512130337 37.78250399265424, -122.47225442925125 37.780829034335916, -122.47231225628846 37.78065582769384)",4135,10267101,PARK PRESIDIO BLVD,10267101,STREETS
"LINESTRING (-122.47258586827029 37.78444889096529, -122.472653346552 37.78436776107772, -122.47252776497412 37.78266181264396, -122.47245106113806 37.782578537576526)",11102,10266201,PARK PRESIDIO BLVD,10266201,STREETS
"LINESTRING (-122.47258586827029 37.78444889096529, -122.4725126084052 37.78437336759763, -122.47238749149197 37.78267369026142, -122.47245106113806 37.782578537576526)",4137,10266101,PARK PRESIDIO BLVD,10266101,STREETS
"LINESTRING (-122.47262579018594 37.78631480664172, -122.47272481581184 37.78620588196898, -122.4727329929791 37.78611492325238, -122.47273211237216 37.78550633132643, -122.47266954683191 37.78455337020562, -122.47258586827029 37.78444889096529)",3984,10265201,PARK PRESIDIO BLVD,10265201,STREETS
"LINESTRING (-122.47262579018594 37.78631480664172, -122.4725793058294 37.78620831651874, -122.4725971890019 37.78608994850142, -122.47259586103078 37.78549192771963, -122.47252488933991 37.78455994413287, -122.47258586827029 37.78444889096529)",11117,10265101,PARK PRESIDIO BLVD,10265101,STREETS
"LINESTRING (-122.44431861960723 37.79879024582157, -122.44440904661573 37.79884488482787, -122.44450505748684 37.798841078338434, -122.44471059647437 37.798867153477104, -122.44482786474055 37.79883962866856)",11459,8465201,LOMBARD ST,8465201,STREETS
"LINESTRING (-122.44431861960723 37.79879024582157, -122.44437420272159 37.798734275054755, -122.44451330482995 37.798724224922246, -122.44476362903234 37.79875984867798, -122.44482786474055 37.79883962866856)",11454,8465101,LOMBARD ST,8465101,STREETS
"LINESTRING (-122.44097756065048 37.79921236685894, -122.44109106136865 37.79925197186465, -122.44259284419803 37.79905928114485, -122.44264789727471 37.79900005056879)",11456,8463201,LOMBARD ST,8463201,STREETS
"LINESTRING (-122.44097756065048 37.79921236685894, -122.44107255082353 37.799151499865594, -122.44256804752128 37.798961432370305, -122.44264789727471 37.79900005056879)",3438,8463101,LOMBARD ST,8463101,STREETS
"LINESTRING (-122.43933665361914 37.79942531147, -122.4394658369795 37.799472672597425, -122.44087251086734 37.7992940358267, -122.44097756065048 37.79921236685894)",6683,8462201,LOMBARD ST,8462201,STREETS
"LINESTRING (-122.43933665361914 37.79942531147, -122.43944133203092 37.799348253567025, -122.44084744017773 37.799169688712865, -122.44097756065048 37.79921236685894)",6684,8462101,LOMBARD ST,8462101,STREETS
"LINESTRING (-122.43769470608837 37.79963392956326, -122.43782447373928 37.79968109059056, -122.43923087639169 37.799502509033395, -122.43933665361914 37.79942531147)",10066,8461201,LOMBARD ST,8461201,STREETS
"LINESTRING (-122.43769470608837 37.79963392956326, -122.43779949117389 37.7995567321319, -122.43920637182696 37.799378089954864, -122.43933665361914 37.79942531147)",10065,8461101,LOMBARD ST,8461101,STREETS
"LINESTRING (-122.43604617327794 37.79984295249321, -122.43617646587323 37.79989033222405, -122.43758951183975 37.79971092403008, -122.43769470608837 37.79963392956326)",10064,8460201,LOMBARD ST,8460201,STREETS
"LINESTRING (-122.43604617327794 37.79984295249321, -122.43615135212899 37.79976599072708, -122.43756453001102 37.7995865657912, -122.43769470608837 37.79963392956326)",6685,8460101,LOMBARD ST,8460101,STREETS
"LINESTRING (-122.43440469844256 37.800051548842994, -122.43453461457568 37.800098817608614, -122.43594150379508 37.79992016648084, -122.43604617327794 37.79984295249321)",10063,8459201,LOMBARD ST,8459201,STREETS
"LINESTRING (-122.43440469844256 37.800051548842994, -122.4345097436512 37.799974444907704, -122.43591639042702 37.79979582465993, -122.43604617327794 37.79984295249321)",10062,8459101,LOMBARD ST,8459101,STREETS
"LINESTRING (-122.43276048897987 37.80026011371745, -122.43288999723329 37.800307633793565, -122.43429965265541 37.80012865214014, -122.43440469844256 37.800051548842994)",10061,8458201,LOMBARD ST,8458201,STREETS
"LINESTRING (-122.43276048897987 37.80026011371745, -122.43286546473115 37.80018321843918, -122.4342747821216 37.800004279664954, -122.43440469844256 37.800051548842994)",10060,8458101,LOMBARD ST,8458101,STREETS
"LINESTRING (-122.43111529065176 37.80046921779002, -122.43124564944253 37.800516391706296, -122.43265503295345 37.80033746506459, -122.43276048897987 37.80026011371745)",6686,8457201,LOMBARD ST,8457201,STREETS
"LINESTRING (-122.43111529065176 37.80046921779002, -122.43121999822546 37.80039211853964, -122.43263050118118 37.800213049656335, -122.43276048897987 37.80026011371745)",10059,8457101,LOMBARD ST,8457101,STREETS
"LINESTRING (-122.4294708838374 37.80067840721679, -122.42959924073887 37.80072538715106, -122.4310106859107 37.80054621939175, -122.43111529065176 37.80046921779002)",10058,8456201,LOMBARD ST,8456201,STREETS
"LINESTRING (-122.4294708838374 37.80067840721679, -122.42957468117007 37.80060097494899, -122.43098503403844 37.80042194619168, -122.43111529065176 37.80046921779002)",10057,8456101,LOMBARD ST,8456101,STREETS
"LINESTRING (-122.42782503266322 37.80088675496684, -122.42795443992185 37.800934096932544, -122.42936427197095 37.80075520749907, -122.4294708838374 37.80067840721679)",10056,8455201,LOMBARD ST,8455201,STREETS
"LINESTRING (-122.42782503266322 37.80088675496684, -122.42792979677884 37.80080969541723, -122.42933971349233 37.8006307957866, -122.4294708838374 37.80067840721679)",6687,8455101,LOMBARD ST,8455101,STREETS
"LINESTRING (-122.4261800440098 37.801095455288866, -122.42630972669873 37.801142766803615, -122.42771947041106 37.80096390959813, -122.42782503266322 37.80088675496684)",6688,8454201,LOMBARD ST,8454201,STREETS
"LINESTRING (-122.4261800440098 37.801095455288866, -122.42628533400263 37.801018333982746, -122.42769482799785 37.80083950802876, -122.42782503266322 37.80088675496684)",6689,8454101,LOMBARD ST,8454101,STREETS
"LINESTRING (-122.42453832491569 37.80130371985579, -122.42476040629302 37.801338771254684, -122.42607475415141 37.80117257676882, -122.4261800440098 37.801095455288866)",6690,8453201,LOMBARD ST,8453201,STREETS
"LINESTRING (-122.42453832491569 37.80130371985579, -122.42473838269615 37.80121457885281, -122.426050361825 37.80104814335091, -122.4261800440098 37.801095455288866)",6691,8453101,LOMBARD ST,8453101,STREETS
"LINESTRING (-122.47125214515518 37.71159154212555, -122.47121509107356 37.70893946404744, -122.4712765547239 37.708608538402, -122.47133251049571 37.708207762153464)",14180,7710205,JUNIPERO SERRA BLVD,7710205,STREETS
"LINESTRING (-122.4713108675623 37.71247481957283, -122.47125549734452 37.71183144789057, -122.47125214515518 37.71159154212555)",14181,7710204,JUNIPERO SERRA BLVD,7710204,STREETS
"LINESTRING (-122.47159806143085 37.71384935503719, -122.47147199092365 37.713427478284345, -122.47134418618955 37.7127462548841, -122.4713108675623 37.71247481957283)",14182,7710203,JUNIPERO SERRA BLVD,7710203,STREETS
"LINESTRING (-122.47171149390795 37.71422893540442, -122.47159806143085 37.71384935503719)",14174,7710202,JUNIPERO SERRA BLVD,7710202,STREETS
"LINESTRING (-122.47257245457519 37.71717386864509, -122.47263327139963 37.71690825356454, -122.47237507262174 37.716123219122316, -122.47183633837118 37.71464677760658, -122.47171149390795 37.71422893540442)",14186,7710201,JUNIPERO SERRA BLVD,7710201,STREETS
"LINESTRING (-122.47101316330253 37.70908668344345, -122.47100075262435 37.70822023474891)",14978,7710106,JUNIPERO SERRA BLVD,7710106,STREETS
"LINESTRING (-122.47104461446415 37.71065006896853, -122.47101316330253 37.70908668344345)",14933,7710105,JUNIPERO SERRA BLVD,7710105,STREETS
"LINESTRING (-122.47110627393427 37.712413649546136, -122.47105185162526 37.71193000135585, -122.47104461446415 37.71065006896853)",14932,7710104,JUNIPERO SERRA BLVD,7710104,STREETS
"LINESTRING (-122.47120275318608 37.712997066144155, -122.47113428333311 37.712662564218746, -122.47110627393427 37.712413649546136)",14962,7710103,JUNIPERO SERRA BLVD,7710103,STREETS
"LINESTRING (-122.47158379846438 37.71447175000185, -122.47143475267619 37.71399572072233, -122.47126698939994 37.71331088327594, -122.47120275318608 37.712997066144155)",14961,7710102,JUNIPERO SERRA BLVD,7710102,STREETS
"LINESTRING (-122.47257245457519 37.71717386864509, -122.47241993191899 37.71690816330864, -122.47231061807346 37.71650195528933, -122.4722110086115 37.71619619621901, -122.4717115704669 37.71487982918316, -122.47158379846438 37.71447175000185)",14976,7710101,JUNIPERO SERRA BLVD,7710101,STREETS
"LINESTRING (-122.4773628302485 37.76606248693436, -122.47741092153791 37.765936957110306, -122.47738271583168 37.76553434200629, -122.47730839447453 37.7654479870052)",4472,4539201,CROSSOVER DR,4539201,STREETS
"LINESTRING (-122.4773628302485 37.76606248693436, -122.47728011307096 37.76594704185728, -122.47725405509743 37.76554002991424, -122.47730839447453 37.7654479870052)",10906,4539101,CROSSOVER DR,4539101,STREETS
"LINESTRING (-122.4795039614575 37.771268574888836, -122.47949333182325 37.77113266706967, -122.47921257138492 37.7706092025493, -122.47894662305883 37.77014280886218, -122.47869320256984 37.769673738357724, -122.47858751449633 37.769472109759626, -122.47850391959639 37.76923281896049, -122.47842223579374 37.7688968177738, -122.47839249517338 37.7686216880329, -122.47837223466426 37.76829582662101, -122.47830858167966 37.76789132156918, -122.47823507017732 37.76761572512631, -122.47808298536938 37.76729107632001, -122.47790376591321 37.76699859405009, -122.47761362418275 37.766596240177954, -122.47750983291998 37.7663858951276, -122.47745443168813 37.76623590436811, -122.4774527390705 37.76617232288802, -122.4773628302485 37.76606248693436)",4466,4538201,CROSSOVER DR,4538201,PARKS
"LINESTRING (-122.4795039614575 37.771268574888836, -122.47937123090605 37.771174179326266, -122.47909068888006 37.77065113169717, -122.47882507839385 37.77018532871602, -122.47857085373553 37.769714768328825, -122.47846172730452 37.769506580198524, -122.47837451517024 37.76925693302656, -122.47829050368004 37.76891135373787, -122.4782599604825 37.768628795941204, -122.47823982714634 37.768304972271174, -122.4781774873446 37.767908806853896, -122.47810716889215 37.767645179077725, -122.47796074169463 37.76733260638864, -122.4777862861931 37.76704789755201, -122.47749351774361 37.76664190105528, -122.47738403473075 37.76642002078025, -122.47732202352998 37.76625213181111, -122.47732056576041 37.76619736851372, -122.4773628302485 37.76606248693436)",10912,4538101,CROSSOVER DR,4538101,PARKS
"LINESTRING (-122.47516798400893 37.71976681248998, -122.47489660032689 37.719448363391265, -122.47284376839889 37.717312431819074, -122.47257245457519 37.71717386864509)",13544,930202,19TH AVE,930202,STREETS
"LINESTRING (-122.47522547641331 37.72044263233016, -122.47534244740663 37.720272758735774, -122.47522677653672 37.719835800918695, -122.47516798400893 37.71976681248998)",14216,930201,19TH AVE,930201,STREETS
"LINESTRING (-122.4746771112135 37.71957477348122, -122.47273299298729 37.71746570969352, -122.47257245457519 37.71717386864509)",14964,930102,19TH AVE,930102,STREETS
"LINESTRING (-122.47522547641331 37.72044263233016, -122.47507136242972 37.72029465827454, -122.47497256980427 37.7199214539048, -122.4746771112135 37.71957477348122)",14963,930101,19TH AVE,930101,STREETS
"LINESTRING (-122.47522195259195 37.72105729578491, -122.47534211952359 37.72086600128873, -122.47534197122143 37.72054945279068, -122.47522547641331 37.72044263233016)",14185,929201,19TH AVE,929201,STREETS
"LINESTRING (-122.47522195259195 37.72105729578491, -122.47507561464023 37.72093814033601, -122.4750730925273 37.720556461599934, -122.47522547641331 37.72044263233016)",14966,929101,19TH AVE,929101,STREETS
"LINESTRING (-122.47510883233585 37.72569214609403, -122.47535323812237 37.72118125383564, -122.47522195259195 37.72105729578491)",14117,928202,19TH AVE,928202,STREETS
"LINESTRING (-122.4749003442234 37.72699069961508, -122.47504403648144 37.726887955621265, -122.47510883233585 37.72569214609403)",14116,928201,19TH AVE,928201,STREETS
"LINESTRING (-122.47494692241025 37.72308573224595, -122.47504850562011 37.721210939287715, -122.47522195259195 37.72105729578491)",15010,928103,19TH AVE,928103,STREETS
"LINESTRING (-122.474848313859 37.724905548046436, -122.47494692241025 37.72308573224595)",14644,928102,19TH AVE,928102,STREETS
"LINESTRING (-122.4749003442234 37.72699069961508, -122.47474164858309 37.7268739484172, -122.474848313859 37.724905548046436)",15011,928101,19TH AVE,928101,STREETS
"LINESTRING (-122.4749281307177 37.72900485187169, -122.47493341972702 37.72892931846696, -122.4750348474107 37.72705753660519, -122.4749003442234 37.72699069961508)",14115,927202,19TH AVE,927202,STREETS
"LINESTRING (-122.47485660391165 37.731065754285005, -122.47491656677552 37.73097572120969, -122.47485139453416 37.73010076027175, -122.4749281307177 37.72900485187169)",14114,927201,19TH AVE,927201,STREETS
"LINESTRING (-122.47473529424964 37.73036088094061, -122.47462998833393 37.728934404675755, -122.47473303852138 37.727032832016825, -122.4749003442234 37.72699069961508)",15016,927102,19TH AVE,927102,STREETS
"LINESTRING (-122.47485660391165 37.731065754285005, -122.47478194222919 37.730992763134246, -122.47473529424964 37.73036088094061)",15017,927101,19TH AVE,927101,STREETS
"LINESTRING (-122.47495462094194 37.73245613830489, -122.47500363795126 37.73235291014033, -122.47493301422548 37.73118089251011, -122.47485660391165 37.731065754285005)",15018,926201,19TH AVE,926201,STREETS
"LINESTRING (-122.47495462094194 37.73245613830489, -122.47487200523928 37.73228426189141, -122.47479718396806 37.73118101409155, -122.47485660391165 37.731065754285005)",14108,926101,19TH AVE,926101,STREETS
"LINESTRING (-122.47510247060907 37.73462557198665, -122.47516366001227 37.73448271278705, -122.4750368577882 37.73262213920149, -122.47495462094194 37.73245613830489)",15019,925201,19TH AVE,925201,STREETS
"LINESTRING (-122.47510247060907 37.73462557198665, -122.47502608629452 37.73448501903075, -122.47489509882348 37.73256298201741, -122.47495462094194 37.73245613830489)",14107,925101,19TH AVE,925101,STREETS
"LINESTRING (-122.47528855535793 37.73745474288117, -122.47535205834721 37.73736330741511, -122.47518364833847 37.734763803009514, -122.47510247060907 37.73462557198665)",12433,924201,19TH AVE,924201,STREETS
"LINESTRING (-122.47528855535793 37.73745474288117, -122.4752106417044 37.73736969180575, -122.47504763089076 37.73476956963235, -122.47510247060907 37.73462557198665)",12434,924101,19TH AVE,924101,STREETS
"LINESTRING (-122.47540907477782 37.739325432978944, -122.47547056425083 37.73921269529178, -122.4753619652801 37.73754576742748, -122.47528855535793 37.73745474288117)",12423,923201,19TH AVE,923201,STREETS
"LINESTRING (-122.47540907477782 37.739325432978944, -122.47533344958492 37.739218741461734, -122.47522049496881 37.737550145789186, -122.47528855535793 37.73745474288117)",12424,923101,19TH AVE,923101,STREETS
"LINESTRING (-122.47553978750146 37.74118663908277, -122.47560647211947 37.741099203115525, -122.47548470162194 37.73943212634456, -122.47540907477782 37.739325432978944)",12421,922201,19TH AVE,922201,STREETS
"LINESTRING (-122.47553978750146 37.74118663908277, -122.47546476893766 37.74110479587242, -122.4753475867667 37.73943816758261, -122.47540907477782 37.739325432978944)",12422,922101,19TH AVE,922101,STREETS
"LINESTRING (-122.47564446807611 37.74305181253956, -122.47571096953975 37.74294388672602, -122.47561654738298 37.74127488946741, -122.47553978750146 37.74118663908277)",16090,921201,19TH AVE,921201,STREETS
"LINESTRING (-122.47564446807611 37.74305181253956, -122.47557381708329 37.742949459564215, -122.47548294574064 37.741280346405084, -122.47553978750146 37.74118663908277)",16089,921101,19TH AVE,921101,STREETS
"LINESTRING (-122.4757732419251 37.74491871830079, -122.47582397643842 37.744806453758464, -122.47570988236156 37.74317270601719, -122.47564446807611 37.74305181253956)",4975,920201,19TH AVE,920201,STREETS
"LINESTRING (-122.4757732419251 37.74491871830079, -122.47570720249625 37.74481161027621, -122.47559311026056 37.743177848425816, -122.47564446807611 37.74305181253956)",4976,920101,19TH AVE,920101,STREETS
"LINESTRING (-122.4759020199429 37.74678203748705, -122.47595409280319 37.74666954667623, -122.47583929852603 37.74502585347133, -122.4757732419251 37.74491871830079)",4948,919201,19TH AVE,919201,STREETS
"LINESTRING (-122.4759020199429 37.74678203748705, -122.47583731522423 37.74667468932379, -122.4757225206834 37.74503095430033, -122.4757732419251 37.74491871830079)",4949,919101,19TH AVE,919101,STREETS
"LINESTRING (-122.476033099253 37.748647507894084, -122.47608734084075 37.748536717342276, -122.47597278989052 37.746888761165266, -122.4759020199429 37.74678203748705)",4932,918201,19TH AVE,918201,STREETS
"LINESTRING (-122.476033099253 37.748647507894084, -122.4759616684271 37.748542016910214, -122.47584713800916 37.74689431193675, -122.4759020199429 37.74678203748705)",4933,918101,19TH AVE,918101,STREETS
"LINESTRING (-122.4761632137537 37.75051227744757, -122.47621601461255 37.75039900472256, -122.47610170140359 37.74875454501322, -122.476033099253 37.748647507894084)",4919,917201,19TH AVE,917201,STREETS
"LINESTRING (-122.4761632137537 37.75051227744757, -122.47609224556633 37.750404210924756, -122.47597796105754 37.74876012919286, -122.476033099253 37.748647507894084)",4920,917101,19TH AVE,917101,STREETS
"LINESTRING (-122.47629224028123 37.75237859907368, -122.47634324552142 37.7522630058838, -122.47622918552747 37.75062227120358, -122.4761632137537 37.75051227744757)",4859,916201,19TH AVE,916201,STREETS
"LINESTRING (-122.47629224028123 37.75237859907368, -122.4762233260857 37.7522668864812, -122.4761093808141 37.75062776419622, -122.4761632137537 37.75051227744757)",4858,916101,19TH AVE,916101,STREETS
"LINESTRING (-122.47642352211639 37.754242188306584, -122.47647976882213 37.75412936157724, -122.4763642769956 37.752483846205465, -122.47629224028123 37.75237859907368)",4816,915201,19TH AVE,915201,STREETS
"LINESTRING (-122.47642352211639 37.754242188306584, -122.47635179356868 37.754134429717844, -122.47623634591969 37.75248950632293, -122.47629224028123 37.75237859907368)",4818,915101,19TH AVE,915101,STREETS
"LINESTRING (-122.47655429028356 37.756110215271754, -122.47661430177709 37.75604607349408, -122.47649516531642 37.75434872066784, -122.47642352211639 37.754242188306584)",4817,914201,19TH AVE,914201,STREETS
"LINESTRING (-122.47655429028356 37.756110215271754, -122.47648625096069 37.75605011590287, -122.47636718968621 37.75435378882498, -122.47642352211639 37.754242188306584)",10789,914101,19TH AVE,914101,STREETS
"LINESTRING (-122.47668417682172 37.757968981557326, -122.47674993853788 37.75790362365197, -122.47662889939683 37.756171502629, -122.47655429028356 37.756110215271754)",4720,913201,19TH AVE,913201,STREETS
"LINESTRING (-122.47668417682172 37.757968981557326, -122.47660069703683 37.75790873493201, -122.47648018968405 37.756184169474835, -122.47655429028356 37.756110215271754)",10809,913101,19TH AVE,913101,STREETS
"LINESTRING (-122.4768138923577 37.759833936231786, -122.47688086780518 37.75972185443291, -122.4767659828687 37.75808048698347, -122.47668417682172 37.757968981557326)",10831,912201,19TH AVE,912201,STREETS
"LINESTRING (-122.4768138923577 37.759833936231786, -122.47673342693132 37.759728625544874, -122.47661845544428 37.75808597662987, -122.47668417682172 37.757968981557326)",10830,912101,19TH AVE,912101,STREETS
"LINESTRING (-122.47701088687656 37.761699374784286, -122.47707199349183 37.76157830334419, -122.47689453504705 37.75994801877568, -122.4768138923577 37.759833936231786)",10833,911201,19TH AVE,911201,STREETS
"LINESTRING (-122.47701088687656 37.761699374784286, -122.47692500753242 37.76158366193251, -122.47674755230004 37.75995337714426, -122.4768138923577 37.759833936231786)",4550,911101,19TH AVE,911101,STREETS
"LINESTRING (-122.47717411126297 37.76355949864878, -122.47723121007864 37.76344962947997, -122.47709368604318 37.76180575646136, -122.47701088687656 37.761699374784286)",10907,910201,19TH AVE,910201,STREETS
"LINESTRING (-122.47717411126297 37.76355949864878, -122.47710095203774 37.76345536083484, -122.4769641295745 37.761811452597236, -122.47701088687656 37.761699374784286)",4470,910101,19TH AVE,910101,STREETS
"LINESTRING (-122.47730839447453 37.7654479870052, -122.47736532789567 37.765315062929865, -122.47725104691298 37.76366880135077, -122.47717411126297 37.76355949864878)",4471,909201,19TH AVE,909201,STREETS
"LINESTRING (-122.47730839447453 37.7654479870052, -122.47724090000698 37.76532056362385, -122.47712113929403 37.763674517503205, -122.47717411126297 37.76355949864878)",10905,909101,19TH AVE,909101,STREETS
