CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,shape
915101.0,19TH,AVE,Inner Sunset,915101,"LINESTRING (-122.47641 37.75424, -122.47634 37.75413, -122.47623 37.752483, -122.47628 37.752373)"
914201.0,19TH,AVE,Central Sunset,914201,"LINESTRING (-122.47654 37.756104, -122.4766 37.756042, -122.47648 37.754345, -122.47641 37.75424)"
914101.0,19TH,AVE,Inner Sunset,914101,"LINESTRING (-122.47654 37.756104, -122.47647 37.756046, -122.47636 37.75435, -122.47641 37.75424)"
913201.0,19TH,AVE,Central Sunset,913201,"LINESTRING (-122.47667 37.757965, -122.47674 37.7579, -122.476616 37.75617, -122.47654 37.756104)"
912201.0,19TH,AVE,Central Sunset,912201,"LINESTRING (-122.4768 37.75983, -122.47687 37.759716, -122.47675 37.758076, -122.47667 37.757965)"
3452000.0,BUSH,ST,Lower Pacfic Heights,3452000,"LINESTRING (-122.43237 37.78715, -122.43345 37.787014)"
3433000.0,BUSH,ST,Downtown - Tenderloin,3433000,"LINESTRING (-122.40712 37.790363, -122.407486 37.790318)"
3451000.0,BUSH,ST,Lower Pacfic Heights,3451000,"LINESTRING (-122.4318 37.787228, -122.43237 37.78715)"
3450000.0,BUSH,ST,Lower Pacfic Heights,3450000,"LINESTRING (-122.43015 37.787437, -122.4318 37.787228)"
3449000.0,BUSH,ST,Lower Pacfic Heights,3449000,"LINESTRING (-122.42851 37.787647, -122.43015 37.787437)"
3447000.0,BUSH,ST,Lower Pacfic Heights,3447000,"LINESTRING (-122.425224 37.788067, -122.42685 37.787857)"
3446000.0,BUSH,ST,Van Ness - Civic Center,3446000,"LINESTRING (-122.423584 37.788277, -122.425224 37.788067)"
3445000.0,BUSH,ST,Van Ness - Civic Center,3445000,"LINESTRING (-122.421936 37.788486, -122.423584 37.788277)"
3444000.0,BUSH,ST,Van Ness - Civic Center,3444000,"LINESTRING (-122.420296 37.788692, -122.421936 37.788486)"
3448000.0,BUSH,ST,Lower Pacfic Heights,3448000,"LINESTRING (-122.42685 37.787857, -122.42851 37.787647)"
3442000.0,BUSH,ST,Downtown - Tenderloin,3442000,"LINESTRING (-122.41701 37.789104, -122.41864 37.788906)"
3436000.0,BUSH,ST,Downtown - Tenderloin,3436000,"LINESTRING (-122.40796 37.790257, -122.408775 37.790154)"
3431000.0,BUSH,ST,Financial District North,3431000,"LINESTRING (-122.40556 37.79056, -122.40632 37.790466)"
3443000.0,BUSH,ST,Downtown - Tenderloin,3443000,"LINESTRING (-122.41864 37.788906, -122.420296 37.788692)"
3456000.0,BUSH,ST,Lower Pacfic Heights,3456000,"LINESTRING (-122.43838 37.78639, -122.44005 37.786175)"
3441000.0,BUSH,ST,Downtown - Tenderloin,3441000,"LINESTRING (-122.41536 37.789314, -122.41701 37.789104)"
3440000.0,BUSH,ST,Downtown - Tenderloin,3440000,"LINESTRING (-122.41371 37.789524, -122.41536 37.789314)"
3439000.0,BUSH,ST,Downtown - Tenderloin,3439000,"LINESTRING (-122.41206 37.789734, -122.41371 37.789524)"
3438000.0,BUSH,ST,Downtown - Tenderloin,3438000,"LINESTRING (-122.41042 37.789948, -122.41206 37.789734)"
3437000.0,BUSH,ST,Downtown - Tenderloin,3437000,"LINESTRING (-122.408775 37.790154, -122.41042 37.789948)"
3435000.0,BUSH,ST,Downtown - Tenderloin,3435000,"LINESTRING (-122.40785 37.79027, -122.40796 37.790257)"
3434000.0,BUSH,ST,Downtown - Tenderloin,3434000,"LINESTRING (-122.407486 37.790318, -122.40785 37.79027)"
3432000.0,BUSH,ST,Financial District North,3432000,"LINESTRING (-122.40632 37.790466, -122.40712 37.790363)"
3430000.0,BUSH,ST,Financial District North,3430000,"LINESTRING (-122.404755 37.79066, -122.40556 37.79056)"
3429000.0,BUSH,ST,Financial District North,3429000,"LINESTRING (-122.40439 37.790707, -122.404755 37.79066)"
3428000.0,BUSH,ST,Financial District North,3428000,"LINESTRING (-122.40432 37.790718, -122.40439 37.790707)"
3427000.0,BUSH,ST,Financial District North,3427000,"LINESTRING (-122.404015 37.790756, -122.40432 37.790718)"
3426000.0,BUSH,ST,Financial District North,3426000,"LINESTRING (-122.403656 37.790802, -122.404015 37.790756)"
3424000.0,BUSH,ST,Financial District North,3424000,"LINESTRING (-122.40237 37.790962, -122.40271 37.79092)"
3460000.0,BUSH,ST,Lower Pacfic Heights,3460000,"LINESTRING (-122.44501 37.785545, -122.44641 37.785366)"
3459000.0,BUSH,ST,Lower Pacfic Heights,3459000,"LINESTRING (-122.44336 37.785755, -122.44501 37.785545)"
3458000.0,BUSH,ST,Lower Pacfic Heights,3458000,"LINESTRING (-122.44171 37.78596, -122.44336 37.785755)"
3457000.0,BUSH,ST,Lower Pacfic Heights,3457000,"LINESTRING (-122.44005 37.786175, -122.44171 37.78596)"
3455000.0,BUSH,ST,Lower Pacfic Heights,3455000,"LINESTRING (-122.43674 37.786594, -122.43838 37.78639)"
3454000.0,BUSH,ST,Lower Pacfic Heights,3454000,"LINESTRING (-122.43509 37.786804, -122.43674 37.786594)"
3453000.0,BUSH,ST,Lower Pacfic Heights,3453000,"LINESTRING (-122.43345 37.787014, -122.43509 37.786804)"
3425000.0,BUSH,ST,Financial District North,3425000,"LINESTRING (-122.40271 37.79092, -122.403656 37.790802)"
4290000.0,COLUMBUS,AVE,Financial District North,4290000,"LINESTRING (-122.4055 37.79706, -122.40621 37.797554)"
4289000.0,COLUMBUS,AVE,Financial District North,4289000,"LINESTRING (-122.40527 37.796906, -122.4055 37.79706)"
4299000.0,COLUMBUS,AVE,North Beach,4299000,"LINESTRING (-122.41253 37.801926, -122.412895 37.802177)"
4298000.0,COLUMBUS,AVE,North Beach,4298000,"LINESTRING (-122.41136 37.80112, -122.41253 37.801926)"
4287000.0,COLUMBUS,AVE,Financial District North,4287000,"LINESTRING (-122.40405 37.79606, -122.404396 37.7963)"
