CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
1754000,34TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49227 37.749794, -122.49214 37.747932))"
1744000,34TH,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.49409 37.775856, -122.49396 37.77399))"
1751000,34TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49266 37.755394, -122.49254 37.75353))"
1752000,34TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49254 37.75353, -122.4924 37.751656))"
1741000,34TH,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49451 37.781574, -122.49437 37.779644))"
1754000,34TH,AVE,PACHECO ST,QUINTARA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49227 37.749794, -122.49214 37.747932))"
1748000,34TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.49306 37.760986, -122.49292 37.759117))"
1762000,34TH,AVE,YORBA ST,ESCONDIDO AVE,0,,,,,,,,"MULTILINESTRING ((-122.49131 37.73532, -122.491264 37.734695))"
1755000,34TH,AVE,QUINTARA ST,RIVERA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49214 37.747932, -122.49201 37.746063))"
1753000,34TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.4924 37.751656, -122.49227 37.749794))"
1756000,34TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.49201 37.746063, -122.49189 37.744205))"
1753000,34TH,AVE,ORTEGA ST,PACHECO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.4924 37.751656, -122.49227 37.749794))"
1755000,34TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49214 37.747932, -122.49201 37.746063))"
1747000,34TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.49319 37.762848, -122.49306 37.760986))"
1760000,34TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49151 37.73861, -122.49153 37.738457, -122.491455 37.73738, -122.491325 37.73729))"
1746000,34TH,AVE,LINCOLN WAY,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49332 37.76473, -122.49319 37.762848))"
1758000,34TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.49175 37.742336, -122.49162 37.74047))"
1757000,34TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.49189 37.744205, -122.49175 37.742336))"
1763000,34TH,AVE,ESCONDIDO AVE,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.491264 37.734695, -122.49123 37.734127, -122.49133 37.734))"
1759000,34TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.49162 37.74047, -122.49149 37.738712, -122.49151 37.73861))"
1742000,34TH,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.49437 37.779644, -122.494225 37.77772))"
1777000,35TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49335 37.74975, -122.49322 37.747883))"
1773000,35TH,AVE,LAWTON ST,MORAGA ST,0,,,,,,,,"MULTILINESTRING ((-122.493866 37.757206, -122.49374 37.755344))"
1776000,35TH,AVE,ORTEGA ST,PACHECO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49348 37.75161, -122.49335 37.74975))"
1781000,35TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.49282 37.74229, -122.49269 37.74042))"
1768000,35TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.495026 37.77394, -122.49489 37.772076))"
1783000,35TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49256 37.738564, -122.492455 37.737064))"
1765000,35TH,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.49543 37.779587, -122.4953 37.77767))"
1777000,35TH,AVE,PACHECO ST,QUINTARA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49335 37.74975, -122.49322 37.747883))"
1778000,35TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49322 37.747883, -122.49309 37.746017))"
1774000,35TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49374 37.755344, -122.49361 37.75348))"
1778000,35TH,AVE,QUINTARA ST,RIVERA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49322 37.747883, -122.49309 37.746017))"
1776000,35TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49348 37.75161, -122.49335 37.74975))"
1779000,35TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.49309 37.746017, -122.49296 37.744156))"
1785000,35TH,AVE,YORBA ST,EASEMENT,0,,,,,,,,"MULTILINESTRING ((-122.49232 37.73504, -122.49228 37.734467))"
1764000,35TH,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.495575 37.78152, -122.495445 37.77974, -122.49543 37.779587))"
1784000,35TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.492455 37.737064, -122.49232 37.73504))"
1767000,35TH,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.49516 37.77581, -122.495026 37.77394))"
1780000,35TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.49296 37.744156, -122.49282 37.74229))"
1775000,35TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49361 37.75348, -122.49348 37.75161))"
1772000,35TH,AVE,KIRKHAM ST,LAWTON ST,0,,,,,,,,"MULTILINESTRING ((-122.493996 37.75907, -122.493866 37.757206))"
1786000,35TH,AVE,EASEMENT,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49228 37.734467, -122.49225 37.734055))"
1766000,35TH,AVE,ANZA ST,BALBOA ST,0,,,,,,,,"MULTILINESTRING ((-122.4953 37.77767, -122.49516 37.77581))"
1770000,35TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.494255 37.762802, -122.494125 37.76094))"
1769000,35TH,AVE,LINCOLN WAY,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49439 37.764683, -122.494255 37.762802))"
1771000,35TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.494125 37.76094, -122.493996 37.75907))"
1782000,35TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.49269 37.74042, -122.49256 37.738564))"
1788000,36TH,AVE,UNNAMED #018,SHORE VIEW AVE,0,,,,,,,,"MULTILINESTRING ((-122.49661 37.781036, -122.49658 37.78063))"
1814000,36TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.4939 37.742245, -122.49376 37.740376))"
1792000,36TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49637 37.777622, -122.49625 37.77576))"
1810000,36TH,AVE,PACHECO ST,QUINTARA ST,0,,,,,,,,"MULTILINESTRING ((-122.494415 37.749702, -122.494286 37.747837))"
1811000,36TH,AVE,QUINTARA ST,RIVERA ST,0,,,,,,,,"MULTILINESTRING ((-122.494286 37.747837, -122.494156 37.74597))"
1807000,36TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.494804 37.755295, -122.494675 37.753433))"
1797000,36TH,AVE,36TH AVE,JOHN F KENNEDY DR,0,,,,,,,,"MULTILINESTRING ((-122.4954 37.7705, -122.494896 37.770195))"
1812000,36TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.494156 37.74597, -122.494026 37.74411))"
1808000,36TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.494675 37.753433, -122.494545 37.751564))"
1809000,36TH,AVE,ORTEGA ST,PACHECO ST,0,,,,,,,,"MULTILINESTRING ((-122.494545 37.751564, -122.494415 37.749702))"
1799000,36TH,AVE,36TH AVE,JOHN F KENNEDY DR,0,,,,,,,,"MULTILINESTRING ((-122.4954 37.7705, -122.4953 37.770245, -122.49525 37.769962))"
1792000,36TH,AVE,ANZA ST,BALBOA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49637 37.777622, -122.49625 37.77576))"
1816000,36TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49365 37.738514, -122.49353 37.736702))"
1791000,36TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49651 37.779545, -122.49637 37.777622))"
1795000,36TH,AVE,FULTON ST,SPRECKELS LAKE DR,0,,,,,,,,"MULTILINESTRING ((-122.49596 37.772026, -122.49593 37.771915, -122.49568 37.77166))"
1798000,36TH,AVE,JOHN F KENNEDY DR,JOHN F KENNEDY DR,25,,,,,,,,"MULTILINESTRING ((-122.494896 37.770195, -122.49416 37.770226, -122.49381 37.77028))"
1813000,36TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.494026 37.74411, -122.4939 37.742245))"
1790000,36TH,AVE,UNNAMED #010,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49655 37.78015, -122.49651 37.779545))"
1796000,36TH,AVE,SPRECKELS LAKE DR,36TH AVE,0,,,,,,,,"MULTILINESTRING ((-122.49568 37.77166, -122.49565 37.770775, -122.49559 37.770638, -122.49549 37.770554, -122.4954 37.7705))"
1801000,36TH,AVE,LINCOLN WAY,SUNSET BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49546 37.764633, -122.49538 37.763386))"
1806000,36TH,AVE,LAWTON ST,MORAGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49494 37.75716, -122.494804 37.755295))"
1804000,36TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.4952 37.76089, -122.49507 37.75902))"
1802000,36TH,AVE,SUNSET BLVD,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49538 37.763386, -122.49533 37.762753))"
1805000,36TH,AVE,KIRKHAM ST,LAWTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49507 37.75902, -122.49494 37.75716))"
1818000,36TH,AVE,YORBA ST,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49339 37.73485, -122.49333 37.734005))"
1800000,36TH,AVE,JOHN F KENNEDY DR,JOHN F KENNEDY DR,25,,,,,,,,"MULTILINESTRING ((-122.49525 37.769962, -122.495674 37.769505, -122.49615 37.769287))"
1789000,36TH,AVE,SHORE VIEW AVE,UNNAMED #010,0,,,,,,,,"MULTILINESTRING ((-122.49658 37.78063, -122.49655 37.78015))"
1794000,36TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.4961 37.77389, -122.49596 37.772026))"
1803000,36TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.49533 37.762753, -122.4952 37.76089))"
1817000,36TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.49353 37.736702, -122.49339 37.73485))"
1787000,36TH,AVE,CLEMENT ST,UNNAMED #018,0,,,,,,,,"MULTILINESTRING ((-122.49664 37.78147, -122.49661 37.781036))"
1815000,36TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.49376 37.740376, -122.49364 37.738617, -122.49365 37.738514))"
1791000,36TH,AVE,GEARY BLVD,ANZA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49651 37.779545, -122.49637 37.777622))"
1793000,36TH,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.49625 37.77576, -122.4961 37.77389))"
1835000,37TH,AVE,QUINTARA ST,RIVERA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49535 37.747787, -122.495224 37.745922))"
1836000,37TH,AVE,RIVERA ST,SANTIAGO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.495224 37.745922, -122.495094 37.744064))"
1828000,37TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.49627 37.760845, -122.49614 37.758976))"
1826000,37TH,AVE,SUNSET BLVD,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49649 37.763977, -122.4964 37.762707))"
1841000,37TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.494576 37.7366, -122.49445 37.734806))"
1830000,37TH,AVE,LAWTON ST,MORAGA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49601 37.75711, -122.49588 37.755245))"
1827000,37TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.4964 37.762707, -122.49627 37.760845))"
1829000,37TH,AVE,KIRKHAM ST,LAWTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49614 37.758976, -122.49601 37.75711))"
1825000,37TH,AVE,LINCOLN WAY,SUNSET BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49654 37.76459, -122.49649 37.763977))"
1838000,37TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.494965 37.742195, -122.494835 37.740326))"
1834000,37TH,AVE,PACHECO ST,QUINTARA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49548 37.749657, -122.49535 37.747787))"
1822000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.497444 37.777573, -122.49731 37.77571))"
1839000,37TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.494835 37.740326, -122.494705 37.73847))"
1840000,37TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.494705 37.73847, -122.494576 37.7366))"
1832000,37TH,AVE,NORIEGA ST,ORTEGA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49575 37.753384, -122.49562 37.751522))"
1823000,37TH,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.49731 37.77571, -122.49717 37.773846))"
1842000,37TH,AVE,YORBA ST,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49445 37.734806, -122.49439 37.733955))"
1835000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49535 37.747787, -122.495224 37.745922))"
1831000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49588 37.755245, -122.49575 37.753384))"
1831000,37TH,AVE,MORAGA ST,NORIEGA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49588 37.755245, -122.49575 37.753384))"
1821000,37TH,AVE,GEARY BLVD,ANZA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49758 37.7795, -122.497444 37.777573))"
1833000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49562 37.751522, -122.49548 37.749657))"
1830000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49601 37.75711, -122.49588 37.755245))"
1836000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.495224 37.745922, -122.495094 37.744064))"
1833000,37TH,AVE,ORTEGA ST,PACHECO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49562 37.751522, -122.49548 37.749657))"
1834000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49548 37.749657, -122.49535 37.747787))"
1837000,37TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.495094 37.744064, -122.494965 37.742195))"
1820000,37TH,AVE,UNNAMED #010,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49763 37.780098, -122.49758 37.7795))"
1824000,37TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49717 37.773846, -122.49703 37.771976))"
1832000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49575 37.753384, -122.49562 37.751522))"
1821000,37TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49758 37.7795, -122.497444 37.777573))"
1822000,37TH,AVE,ANZA ST,BALBOA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.497444 37.777573, -122.49731 37.77571))"
1819000,37TH,AVE,SHORE VIEW AVE,UNNAMED #010,0,,,,,,,,"MULTILINESTRING ((-122.49765 37.78045, -122.49763 37.780098))"
1844000,38TH,AVE,UNNAMED #018,SHORE VIEW AVE,0,,,,,,,,"MULTILINESTRING ((-122.49876 37.780937, -122.498726 37.780525))"
1859000,38TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.49617 37.744015, -122.49603 37.74215))"
1848000,38TH,AVE,ANZA ST,BALBOA ST,0,,,,,,,,"MULTILINESTRING ((-122.498505 37.777527, -122.498375 37.77566))"
1843000,38TH,AVE,CLEMENT ST,UNNAMED #018,0,,,,,,,,"MULTILINESTRING ((-122.49879 37.781372, -122.49876 37.780937))"
1845000,38TH,AVE,SHORE VIEW AVE,UNNAMED #010,0,,,,,,,,"MULTILINESTRING ((-122.498726 37.780525, -122.4987 37.780163))"
1846000,38TH,AVE,UNNAMED #010,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.4987 37.780163, -122.49865 37.77945))"
1851000,38TH,AVE,LINCOLN WAY,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.497604 37.76454, -122.49747 37.76266))"
1863000,38TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.49564 37.736553, -122.49552 37.734703))"
1853000,38TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.49734 37.7608, -122.49721 37.75893))"
1850000,38TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49824 37.773796, -122.4981 37.77193))"
1852000,38TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.49747 37.76266, -122.49734 37.7608))"
1855000,38TH,AVE,LAWTON ST,MORAGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49708 37.757065, -122.49695 37.755196))"
1861000,38TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.4959 37.74028, -122.49577 37.738422))"
1849000,38TH,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.498375 37.77566, -122.49824 37.773796))"
1862000,38TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49577 37.738422, -122.49564 37.736553))"
1856000,38TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49695 37.755196, -122.49682 37.753338))"
1858000,38TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.4963 37.745876, -122.49617 37.744015))"
1847000,38TH,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.49865 37.77945, -122.498505 37.777527))"
1860000,38TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.49603 37.74215, -122.4959 37.74028))"
1854000,38TH,AVE,KIRKHAM ST,LAWTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49721 37.75893, -122.49708 37.757065))"
1857000,38TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49682 37.753338, -122.49669 37.751472))"
1864000,39TH,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.499855 37.781322, -122.49972 37.7794))"
1876000,39TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.4975 37.747696, -122.49737 37.745827))"
1866000,39TH,AVE,ANZA ST,BALBOA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49958 37.777477, -122.49944 37.77561))"
1883000,39TH,AVE,YORBA ST,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49658 37.73466, -122.49653 37.73388, -122.49662 37.733765))"
1866000,39TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49958 37.777477, -122.49944 37.77561))"
1867000,39TH,AVE,BALBOA ST,CABRILLO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49944 37.77561, -122.499306 37.773746))"
1869000,39TH,AVE,LINCOLN WAY,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49867 37.76449, -122.49854 37.76261))"
1870000,39TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.49854 37.76261, -122.49841 37.76075))"
1879000,39TH,AVE,TARAVAL ST,ULLOA ST,0,,,,,,,,"MULTILINESTRING ((-122.4971 37.7421, -122.49697 37.740234))"
1865000,39TH,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.49972 37.7794, -122.49958 37.777477))"
1873000,39TH,AVE,LAWTON ST,MORAGA ST,0,,,,,,,,"MULTILINESTRING ((-122.498146 37.75702, -122.49802 37.755146))"
1874000,39TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49802 37.755146, -122.49789 37.753292))"
1872000,39TH,AVE,KIRKHAM ST,LAWTON ST,0,,,,,,,,"MULTILINESTRING ((-122.49828 37.758884, -122.498146 37.75702))"
1876000,39TH,AVE,QUINTARA ST,RIVERA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.4975 37.747696, -122.49737 37.745827))"
1875000,39TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49789 37.753292, -122.49776 37.751423))"
1880000,39TH,AVE,ULLOA ST,VICENTE ST,0,,,,,,,,"MULTILINESTRING ((-122.49697 37.740234, -122.49684 37.738373))"
1882000,39TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.49671 37.736507, -122.49658 37.73466))"
1881000,39TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49684 37.738373, -122.49671 37.736507))"
1877000,39TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.49737 37.745827, -122.49724 37.74397))"
1868000,39TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.499306 37.773746, -122.49917 37.77188))"
1867000,39TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49944 37.77561, -122.499306 37.773746))"
1871000,39TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.49841 37.76075, -122.49828 37.758884))"
1878000,39TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.49724 37.74397, -122.4971 37.7421))"
1892000,40TH,AVE,KIRKHAM ST,LAWTON ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49935 37.758835, -122.49922 37.75697))"
1900000,40TH,AVE,ULLOA ST,VICENTE ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49805 37.740185, -122.49792 37.738327))"
1886000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.50065 37.77743, -122.5005 37.775562))"
1894000,40TH,AVE,MORAGA ST,NORIEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49909 37.755096, -122.49896 37.753242))"
1901000,40TH,AVE,VICENTE ST,WAWONA ST,0,,,,,,,,"MULTILINESTRING ((-122.49792 37.738327, -122.49779 37.736458))"
1891000,40TH,AVE,JUDAH ST,KIRKHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.49948 37.760704, -122.49935 37.758835))"
1896000,40TH,AVE,QUINTARA ST,RIVERA ST,0,,,,,,,,"MULTILINESTRING ((-122.49857 37.747646, -122.498436 37.74578))"
1899000,40TH,AVE,TARAVAL ST,ULLOA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49818 37.74205, -122.49805 37.740185))"
1889000,40TH,AVE,LINCOLN WAY,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.49975 37.764446, -122.49961 37.762566))"
1893000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49922 37.75697, -122.49909 37.755096))"
1884000,40TH,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.50093 37.781273, -122.500786 37.779346))"
1900000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49805 37.740185, -122.49792 37.738327))"
1885000,40TH,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.500786 37.779346, -122.50065 37.77743))"
1902000,40TH,AVE,WAWONA ST,YORBA ST,0,,,,,,,,"MULTILINESTRING ((-122.49779 37.736458, -122.49766 37.73461))"
1887000,40TH,AVE,BALBOA ST,CABRILLO ST,15,YES,,,,,,,"MULTILINESTRING ((-122.5005 37.775562, -122.500374 37.773697))"
1898000,40TH,AVE,SANTIAGO ST,TARAVAL ST,0,,,,,,,,"MULTILINESTRING ((-122.49831 37.743923, -122.49818 37.74205))"
1888000,40TH,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.500374 37.773697, -122.500244 37.77183))"
1899000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49818 37.74205, -122.49805 37.740185))"
1892000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.49935 37.758835, -122.49922 37.75697))"
1890000,40TH,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.49961 37.762566, -122.49948 37.760704))"
1893000,40TH,AVE,LAWTON ST,MORAGA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49922 37.75697, -122.49909 37.755096))"
1895000,40TH,AVE,NORIEGA ST,ORTEGA ST,0,,,,,,,,"MULTILINESTRING ((-122.49896 37.753242, -122.49883 37.751377))"
1886000,40TH,AVE,ANZA ST,BALBOA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.50065 37.77743, -122.5005 37.775562))"
1897000,40TH,AVE,RIVERA ST,SANTIAGO ST,0,,,,,,,,"MULTILINESTRING ((-122.498436 37.74578, -122.49831 37.743923))"
1887000,40TH,AVE,,,15,YES,,,,,,,"MULTILINESTRING ((-122.5005 37.775562, -122.500374 37.773697))"
1903000,41ST,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.502 37.781223, -122.50188 37.77951))"
1909000,41ST,AVE,MARTIN LUTHER KING JR DR,LINCOLN WAY,0,,,,,,,,"MULTILINESTRING ((-122.50085 37.76484, -122.50082 37.7644))"
1925000,41ST,AVE,YORBA ST,SLOAT BLVD,0,,,,,,,,"MULTILINESTRING ((-122.49902 37.73456, -122.49918 37.734306))"
1918000,41ST,AVE,PACHECO ST,QUINTARA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.49977 37.749466, -122.49964 37.7476))"
1911000,41ST,AVE,IRVING ST,JUDAH ST,0,,,,,,,,"MULTILINESTRING ((-122.50069 37.762516, -122.50056 37.76066))"
