facility_id,common_name,Fire Station,IsFireStation,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,supervisor_district,city_tenants,land_id
729,Fire Station #5 - Division 2 Headquarters,5,1,1301 Turk St,San Francisco,94115,756001,Own,38,Fire Department,12600,-122.4307347,37.78051537,5,,641
718,Fire Station #37,37,1,798 Wisconsin St,San Francisco,94107,4097024,Own,38,Fire Department,6950,-122.3992439,37.75741778,10,,344
711,Fire Station #29,29,1,299 Vermont St,San Francisco,94103,3935002,Own,38,Fire Department,8300,-122.4042958,37.76615647,10,,343
726,Fire Station #43,43,1,720 Moscow St,San Francisco,94112,6338024,Own,38,Fire Department,10800,-122.4316787,37.71634867,11,,308
720,Fire Station #39,39,1,1091 Portola Dr,San Francisco,94127,2982029,Own,38,Fire Department,8450,-122.458635,37.74003984,7,,342
690,Fire Headquarters,,0,698 02nd St,San Francisco,94107,3788006,Own,38,Fire Department,,-122.3910479,37.78054991,6,,311
703,Fire Station #20,20,1,285 Olympia Way,San Francisco,94131,2842009,Own,38,Fire Department,10300,-122.4560767,37.75117125,7,,582
1207,Old Fire Station 21,21,0,1152 Oak St,San Francisco,94117,1215010,Own,38,Fire Department,5600,-122.4383662,37.77330114,5,,325
716,Fire Station #34,34,1,499 41st Ave,San Francisco,94121,1494001,Own,38,Fire Department,4400,-122.5026191,37.77943863,1,,324
688,Fire Division of Training  - Treasure Island,,0,600 Avenue M,San Francisco,94130,1939030,Own,38,Fire Department,5040,-122.3670518,37.82705933,6,,1106
694,Fire Station #12,12,1,1145 Stanyan St,San Francisco,94117,2630047,Own,38,Fire Department,11300,-122.4525864,37.76344993,5,,316
689,Fire Division of Training - Folsom St,,0,2310 Folsom St,San Francisco,94110,3594059,Own,38,Fire Department,,-122.4150109,37.76001239,9,,314
1407,Richmond Station,,0,461 06th Ave,San Francisco,94118,1538007,Own,45,Police Department,13000,-122.4644607,37.78000129,1,,812
1182,Next Door Shelter,,0,1001 Polk St,San Francisco,94109,694004,Own,45,Police Department,37125,-122.420049,37.78611645,6,,374
699,Fire Station #17,17,1,1295 Shafter Ave,San Francisco,94124,4792018,Own,38,Fire Department,12100,-122.3850667,37.72752662,10,,310
3168,Sunset Tank & Pump Station,,0,2275 44TH AVE,San Francisco,94116,2305014,Own,38,Fire Department,,-122.502974,37.74424389,4,,317
719,Fire Station #38,38,1,2150 California St,San Francisco,94115,638016,Own,38,Fire Department,13400,-122.4298802,37.78971868,2,,329
1740,Taraval Station,,0,2345 24th Ave,San Francisco,94116,2353002,Own,45,Police Department,18070,-122.4814608,37.74373379,4,,177
709,Fire Station #26,26,1,80 Digby St,San Francisco,94131,7540013,Own,38,Fire Department,15000,-122.4333997,37.74028306,8,,305
733,Fire Station #8,8,1,36 Bluxome St,San Francisco,94107,3786039,Own,38,Fire Department,8000,-122.3967101,37.77730564,6,,312
724,Fire Station #41,41,1,1325 Leavenworth St,San Francisco,94109,216003,Own,38,Fire Department,9600,-122.4164952,37.79337686,3,,334
725,Fire Station #42,42,1,2430 San Bruno Ave,San Francisco,94134,5924004,Own,38,Fire Department,9300,-122.405425,37.73158521,9,,347
897,Ingleside Police Station,,0,1 Sergeant John V Young St,San Francisco,94112,3179011,Own,45,Police Department,18500,-122.446251,37.72477013,11,,661
3494,1828 Egbert Storage Facility,,0,1828 Egbert Ave,San Francisco,94124,5434B005,Own,45,Police Department,,-122.400424,37.72750693,10,,1289
708,Fire Station #25,25,1,3305 3rd St,San Francisco,94124,4502A002,Own,38,Fire Department,11420,-122.3868525,37.7466393,10,,781
139,Bureau of Fire Investigation,,0,1275 3rd St,San Francisco,94158,8719007,Own,38,Fire Department,60000,-122.3893756,37.7722714,6,,756
453,Central Station,,0,766 Vallejo St,San Francisco,94133,130043,Own,45,Police Department,8000,-122.4098629,37.79864532,3,,163
704,Fire Station #21,21,1,1443 Grove St,San Francisco,94117,1200016,Own,38,Fire Department,8000,-122.4402718,37.77540972,5,,326
730,Fire Station #6,6,1,135 Sanchez St,San Francisco,94114,3542025,Own,38,Fire Department,13500,-122.4308742,37.76707871,8,,313
173,Bayview Station,,0,201 Williams Ave,San Francisco,94124,5423A010,Own,45,Police Department,16000,-122.3980866,37.72964172,10,,567
738,Fire Station #35 - Fireboat Headquarters,35,1,Pier 22 1/2,San Francisco,94105,9900022H,Own,38,Fire Department,2500,-122.3884401,37.79022103,6,,369
693,Fire Station #11,11,1,3880 26th St,San Francisco,94131,6551043,Own,38,Fire Department,14000,-122.4264855,37.74878232,8,,307
700,Fire Station #18,18,1,1935 32nd Ave,San Francisco,94116,2102006,Own,38,Fire Department,15900,-122.4905439,37.75098636,4,,321
734,Fire Station #9,9,1,2245 Jerrold Ave,San Francisco,94124,5286A022,Own,38,Fire Department,15000,-122.4012356,37.74526234,10,,309
713,Fire Station #31,31,1,441 12th Ave,San Francisco,94118,1532007,Own,38,Fire Department,8500,-122.4709114,37.77984011,1,,320
