Ã¯Â»Â¿Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point,longitude,latitude
"3,007,751",0,30077510,Laguna St. / Oak St.,2003-01-27T00:00:00,30270314,2003-01-27T17:40:42,2003-01-27T17:43:08,2003-01-27T17:43:38,SF,94115,B02,36,,2,9,0,0,0,0,E36,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Hayes Valley,POINT (-122.425892 37.774599),-122.425892,37.774599
"3,008,177",0,30081770,707 Taraval St.,2003-01-29T00:00:00,30290036,2003-01-29T07:23:08,2003-01-29T07:30:06,2003-01-29T07:37:22,SF,94122,B08,40,,1,4,0,0,0,0,T18,0,0,0,0,0,0,1,551 - Assist PD or other Govern. Agency,None,45 - Remove hazard,-,-,-,"580 - General retail, other",,,,,,,,,,,,,,,,,,,,,,,,,,,7,West of Twin Peaks,POINT (-122.47381242 37.74288468),-122.4738124,37.74288468
"3,008,178",0,30081780,601 Minnesota St.,2003-01-29T00:00:00,30290037,2003-01-29T07:23:55,2003-01-29T07:28:11,2003-01-29T07:53:58,SF,94107,B03,29,,1,4,0,0,0,0,E29,0,0,0,0,0,0,1,131 - Passenger vehicle fire,None,11 - Extinguish,-,-,-,"960 - Street, other",81 - Operator/passenger area/transport equ,U - Cause undetermined after investigation,-,-,UU - Undetermined,"21 - Upholstered sofa, chair, vehicle seat",-,,,,,,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.390607 37.762862),-122.390607,37.762862
"3,008,183",0,30081830,2500 Mariposa St.,2003-01-29T00:00:00,30290045,2003-01-29T07:41:33,2003-01-29T07:44:30,2003-01-29T08:01:39,SF,94105,B02,29,,3,11,0,0,0,0,E07,0,0,0,0,0,0,1,531 - Smoke or odor removal,None,86 - Investigate,-,-,-,173 - Bus station,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Mission,POINT (-122.408394 37.763188),-122.408394,37.763188
"3,008,185",0,30081850,170 Ofarrell St.,2003-01-29T00:00:00,30290047,2003-01-29T07:44:08,2003-01-29T07:47:26,2003-01-29T07:53:32,SF,94109,B01,1,,2,9,0,0,0,0,E01,0,0,0,0,0,0,1,733 - Smoke detector activation/malfunction,None,86 - Investigate,-,-,-,"449 - Hotel/motel, commercial",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.407549 37.786541),-122.407549,37.786541
"3,008,188",0,30081880,405 Davis Ct.,2003-01-29T00:00:00,30290053,2003-01-29T07:55:43,2003-01-29T07:58:43,2003-01-29T08:07:10,SF,94104,B01,13,,2,9,0,0,0,0,E13,0,0,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.39840845 37.79639772),-122.3984085,37.79639772
"3,008,189",0,30081890,145 Jackson St.,2003-01-29T00:00:00,30290054,2003-01-29T07:57:16,2003-01-29T08:01:42,2003-01-29T08:14:00,SF,94108,B01,13,,0,0,3,11,0,0,E02,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.398826 37.796563),-122.398826,37.796563
"3,008,385",0,30083850,2114 34th Av.,2003-01-29T00:00:00,30290385,2003-01-29T22:02:09,2003-01-29T22:06:05,2003-01-29T22:21:35,SF,94122,B08,18,,1,4,0,0,0,0,E18,0,0,0,0,0,0,1,554 - Assist invalid,None,"30 - Emergency medical services, other",-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunset/Parkside,POINT (-122.4931528 37.74783271),-122.4931528,37.74783271
"3,008,389",0,30083890,16th St. / Folsom St.,2003-01-29T00:00:00,30290389,2003-01-29T22:19:50,2003-01-29T22:22:03,2003-01-29T22:22:03,SF,94110,B02,7,,1,1,1,1,1,1,,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.415308 37.765316),-122.415308,37.765316
"3,008,396",0,30083960,2262 39th Av.,2003-01-29T00:00:00,30290397,2003-01-29T23:25:02,2003-01-29T23:29:57,2003-01-29T23:40:41,SF,94122,B08,18,,1,4,0,0,0,0,E18,0,0,0,0,0,0,1,551 - Assist PD or other Govern. Agency,None,75 - Provide equipment,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunset/Parkside,POINT (-122.4971746 37.74391893),-122.4971746,37.74391893
"3,008,191",0,30081910,155 Jackson St.,2003-01-29T00:00:00,30290067,2003-01-29T08:27:36,2003-01-29T08:29:18,2003-01-29T08:36:01,SF,94111,B01,13,,3,11,0,0,0,0,E13,0,0,0,0,0,0,1,741 - Sprinkler activation/no fire-accidental,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.398961 37.796933),-122.398961,37.796933
"3,008,193",0,30081930,1345 Fillmore St.,2003-01-29T00:00:00,30290074,2003-01-29T08:45:45,2003-01-29T08:47:45,2003-01-29T08:55:14,SF,94102,B05,5,,3,11,0,0,0,0,E05,0,0,0,0,0,0,1,733 - Smoke detector activation/malfunction,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.4325 37.781838),-122.4325,37.781838
"3,008,196",0,30081960,5th St. / Market St.,2003-01-29T00:00:00,30290085,2003-01-29T09:05:13,2003-01-29T09:36:06,2003-01-29T09:36:06,SF,94105,B03,1,,1,4,0,0,0,0,,0,0,0,0,0,0,1,553 - Public service,None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.407486 37.783529),-122.407486,37.783529
