,zone_idx,day_of_week,dayflag,accessibility_score,minutes
0,8,0.0,False,0.0008026153428135,7.283333333333333
1,8,0.0,True,0.0008026153428135,7.289506172839506
2,8,1.0,False,0.0008026153428135,2.9166666666666665
3,8,1.0,True,0.0008026153428135,14.403333333333332
4,8,2.0,False,0.0008026153428134999,3.5833333333333335
5,8,2.0,True,0.0008026153428135,4.05
6,8,3.0,False,0.0008026153428135,2.470833333333333
7,8,3.0,True,0.0008026153428135,4.37936507936508
8,8,4.0,False,0.0008026153428134999,2.4305555555555554
9,8,4.0,True,0.0008026153428135,3.275
10,8,5.0,False,0.0008026153428134999,3.7583333333333333
11,8,5.0,True,0.0008026153428135,5.401190476190477
12,8,6.0,False,0.0008026153428135,3.431372549019608
13,8,6.0,True,0.0008026153428135,4.422043010752689
14,9,0.0,False,0.0011474429290204,3.2700000000000005
15,9,0.0,True,0.0011474429290204,3.5941176470588236
16,9,1.0,False,0.0011474429290204,4.315686274509804
17,9,1.0,True,0.0011474429290204,4.2318181818181815
18,9,2.0,False,0.0011474429290204,4.1648148148148145
19,9,2.0,True,0.0011474429290204,4.394949494949495
20,9,3.0,False,0.0011474429290204,5.181372549019608
21,9,3.0,True,0.0011474429290204,3.1736842105263157
22,9,4.0,False,0.0011474429290204,6.262962962962963
23,9,4.0,True,0.0011474429290203997,4.581547619047619
24,9,5.0,False,0.0011474429290204,4.444791666666667
25,9,5.0,True,0.0011474429290204,4.753472222222222
26,9,6.0,False,0.0011474429290204,4.082666666666666
27,9,6.0,True,0.0011474429290204,5.112777777777778
28,10,0.0,False,0.0009682956699734998,6.056666666666667
29,10,0.0,True,0.0009682956699735001,3.1369047619047623
30,10,1.0,False,0.0009682956699735,2.9416666666666664
31,10,1.0,True,0.0009682956699735001,3.2833333333333337
32,10,2.0,False,0.0009682956699735,5.95
33,10,2.0,True,0.0009682956699735,10.227777777777778
34,10,3.0,False,0.0009682956699735,6.938888888888889
35,10,3.0,True,0.0009682956699735,4.538888888888889
36,10,4.0,False,0.0009682956699734998,3.41
37,10,4.0,True,0.0009682956699735,3.005555555555556
38,10,5.0,False,0.0009682956699734998,2.4833333333333334
39,10,5.0,True,0.0009682956699735001,4.641666666666667
40,10,6.0,False,0.0009682956699735,4.216666666666667
41,10,6.0,True,0.0009682956699735,4.398148148148149
42,11,0.0,False,0.0005012242080398,2.8546296296296294
43,11,0.0,True,0.0005012242080398,2.5533333333333332
44,11,1.0,False,0.0005012242080398,2.629487179487179
45,11,1.0,True,0.0005012242080398,2.441666666666667
46,11,2.0,False,0.0005012242080398,4.283333333333333
47,11,2.0,True,0.0005012242080398,3.3333333333333335
48,11,3.0,False,0.0005012242080398,4.853508771929825
49,11,3.0,True,0.0005012242080398,4.251515151515151
50,11,4.0,False,0.0005012242080398,3.1
51,11,4.0,True,0.0005012242080398,2.7666666666666666
52,11,5.0,False,0.0005012242080398,3.9558823529411766
53,11,5.0,True,0.0005012242080398,3.471078431372549
54,11,6.0,False,0.0005012242080398,3.8986666666666667
55,11,6.0,True,0.0005012242080398,3.0458333333333334
56,12,0.0,False,0.0005012242080398,3.1611111111111114
57,12,0.0,True,0.0005012242080398,2.9047619047619047
58,12,1.0,False,0.0005012242080398,7.1499999999999995
59,12,1.0,True,0.0005012242080398,5.756410256410256
60,12,2.0,False,0.0005012242080398,3.21
61,12,2.0,True,0.0005012242080398,4.030952380952381
62,12,3.0,False,0.0005012242080398,3.1
63,12,3.0,True,0.0005012242080398,5.038095238095238
64,12,4.0,False,0.0005012242080398,3.2527777777777778
65,12,4.0,True,0.0005012242080398,4.346666666666667
66,12,5.0,False,0.0005012242080398,5.733333333333333
67,12,5.0,True,0.0005012242080398,3.184375
68,12,6.0,False,0.0005012242080398,5.342424242424243
69,12,6.0,True,0.0005012242080398,3.2700000000000005
70,13,0.0,True,0.0005012242080398,4.14375
71,13,1.0,False,0.0005012242080398,3.8833333333333333
72,13,1.0,True,0.0005012242080398,4.108333333333333
73,13,2.0,False,0.0005012242080398,4.604166666666667
74,13,2.0,True,0.0005012242080398,3.5583333333333336
75,13,3.0,False,0.0005012242080398,6.883333333333334
76,13,3.0,True,0.0005012242080398,4.316666666666666
77,13,4.0,False,0.0005012242080398,4.041666666666667
78,13,4.0,True,0.0005012242080398,30.283333333333335
79,13,5.0,False,0.0005012242080398,4.266666666666667
80,13,5.0,True,0.0005012242080398,3.1125
81,13,6.0,False,0.0005012242080398,4.075
82,13,6.0,True,0.0005012242080398,4.358333333333333
83,14,0.0,False,0.0005012242080398,4.216666666666667
84,14,0.0,True,0.0005012242080398,4.583333333333333
85,14,1.0,False,0.0005012242080398,6.45
86,14,1.0,True,0.0005012242080398,4.191666666666666
87,14,3.0,True,0.0005012242080398,5.125
88,14,4.0,False,0.0005012242080398,3.9166666666666665
89,14,4.0,True,0.0005012242080398,3.8
90,14,5.0,True,0.0005012242080398,4.741666666666667
91,14,6.0,True,0.0005012242080398,6.05
92,27,0.0,False,0.0006462187209806,2.033333333333333
93,27,1.0,False,0.0006462187209806,4.5
94,27,1.0,True,0.0006462187209806,6.0375
95,27,2.0,False,0.0006462187209806,2.325
96,27,3.0,True,0.0006462187209806,4.361904761904762
97,27,4.0,False,0.0006462187209806,5.35
98,27,5.0,False,0.0006462187209806,4.590000000000001
99,27,5.0,True,0.0006462187209806,5.1
100,27,6.0,True,0.0006462187209806,4.797222222222222
101,28,0.0,False,0.0006462187209806,2.671875
102,28,0.0,True,0.0006462187209806,2.893939393939394
103,28,1.0,False,0.0006462187209806,3.2962962962962963
